CHP_ID	Chinese_herbal_pieces	Chinese_synonyms	Pinyin_term	English_term	Sources
CHP05937	马鬃		ma zong	Equus caballus	Metazoa
CHP05938	马鬃蛇		ma zong she	Calotes versicolor	Metazoa
CHP05939	馒头蟹		man tou xie	Calappa philargius	Metazoa
CHP05940	鳗鲡		man li	Anguilla japonica	Metazoa
CHP05941	鳗鲡鱼		man li yu	Anguilla japonica	Metazoa
CHP05942	鳗鲡鱼膏		man li yu gao	Anguilla japonica	Metazoa
CHP05943	鳗鲡鱼骨		man li yu gu	Anguilla japonica	Metazoa
CHP05944	鳗鲡鱼血		man li yu xue	Anguilla japonica	Metazoa
CHP05945	猫肉		mao rou	Felis catus	Metazoa
CHP05946	猫头		mao tou	Felis catus	Metazoa
CHP05947	猫头鹰		mao tou ying	Bubo bubo	Metazoa
CHP05948	牦牛角		mao niu jiao	Bos grunniens	Metazoa
